Bin low edge	Bin high edge	intensity 	Uncertainty
1.00E-02	2.00E-02	0	0
2.00E-02	3.00E-02	0	0
3.00E-02	4.50E-02	0	0
4.50E-02	6.00E-02	0	0
6.00E-02	7.00E-02	0	0
7.00E-02	7.50E-02	0	0
7.50E-02	1.00E-01	0	0
1.00E-01	1.50E-01	0	0
1.50E-01	2.00E-01	0	0
2.00E-01	2.60E-01	0	0
2.60E-01	3.00E-01	8.94505494505e-09	9.91944743579e-09
3.00E-01	4.00E-01	1.77098901099e-07	4.69837493153e-08
4.00E-01	4.50E-01	1.03214285714e-06	1.17221971547e-07
4.50E-01	5.10E-01	8.01230769231e-06	3.40392968811e-07
5.10E-01	5.12E-01	1.72898901099e-05	5.18515095865e-07
5.12E-01	6.00E-01	4.71593846154e-05	8.91620967261e-07
6.00E-01	7.00E-01	0.000164795197802	1.73609011431e-06
7.00E-01	8.00E-01	0.000388321318681	2.77051089159e-06
8.00E-01	9.00E-01	0.000714124483516	3.89791150497e-06
9.00E-01	1.00E+00	0.00113480043956	5.09344563461e-06
1.00E+00	1.20E+00	0.00192513000000	6.91553712394e-06
1.20E+00	1.33E+00	0.00293354626374	8.89033352528e-06
1.33E+00	1.44E+00	0.00373373153846	1.03919549703e-05
1.44E+00	1.50E+00	0.00431591219780	1.15156609722e-05
1.50E+00	1.57E+00	0.00477133395604	1.24473173481e-05
1.57E+00	1.66E+00	0.00533271736264	1.35347087696e-05
1.66E+00	1.80E+00	0.00614366637363	1.49874929805e-05
1.80E+00	2.00E+00	0.00734054461538	1.69811424611e-05
2.00E+00	2.15E+00	0.00857073538462	1.90000337675e-05
2.15E+00	2.35E+00	0.00979519252747	2.10129784302e-05
2.35E+00	2.50E+00	0.0109893673626	2.29887076065e-05
2.50E+00	2.75E+00	0.0123202463736	2.5175592905e-05
2.75E+00	3.00E+00	0.0139733569231	2.77996453465e-05
3.00E+00	3.50E+00	0.0163941213187	3.14692240803e-05
3.50E+00	4.00E+00	0.0195724659341	3.61239351727e-05
4.00E+00	4.50E+00	0.0227696461538	4.07494306618e-05
4.50E+00	5.00E+00	0.0260260725275	4.54117247085e-05
5.00E+00	5.50E+00	0.0293780681319	5.01216310871e-05
5.50E+00	6.00E+00	0.0328674857143	5.49428372758e-05
6.00E+00	6.50E+00	0.0364994604396	5.98732792096e-05
6.50E+00	7.00E+00	0.0402535978022	6.49163107163e-05
7.00E+00	7.50E+00	0.0441255065934	6.99921025557e-05
7.50E+00	8.00E+00	0.0481420901099	7.5223597936e-05
8.00E+00	1.00E+01	0.0587005824176	8.73499521086e-05
1.00E+01	1.20E+01	0.0766513604396	0.000106142697198
1.20E+01	1.40E+01	0.095579110989	0.000125028732561
1.40E+01	2.00E+01	0.135232706593	0.000161524289767
