Bin low edge	Bin high edge	intensity 	Uncertainty
1.00E-02	2.00E-02	0	0
2.00E-02	3.00E-02	0	0
3.00E-02	4.50E-02	0	0
4.50E-02	6.00E-02	0	0
6.00E-02	7.00E-02	0	0
7.00E-02	7.50E-02	0	0
7.50E-02	1.00E-01	0	0
1.00E-01	1.50E-01	0	0
1.50E-01	2.00E-01	0	0
2.00E-01	2.60E-01	0	0
2.60E-01	3.00E-01	0	0
3.00E-01	4.00E-01	1.31E-07	3.69755E-08
4.00E-01	4.50E-01	6.00E-07	8.05256E-08
4.50E-01	5.10E-01	5.80E-06	2.63687E-07
5.10E-01	5.12E-01	1.32E-05	3.89157E-07
5.12E-01	6.00E-01	3.67E-05	6.66193E-07
6.00E-01	7.00E-01	0.000129588	1.29076E-06
7.00E-01	8.00E-01	0.000309588	2.04701E-06
8.00E-01	9.00E-01	0.000577819	2.87774E-06
9.00E-01	1.00E+00	0.000926869	3.70239E-06
1.00E+00	1.20E+00	0.001597556	4.96219E-06
1.20E+00	1.33E+00	0.002459044	6.29283E-06
1.33E+00	1.44E+00	0.003145819	7.2113E-06
1.44E+00	1.50E+00	0.003646875	7.87115E-06
1.50E+00	1.57E+00	0.004053319	8.38416E-06
1.57E+00	1.66E+00	0.004522444	8.97342E-06
1.66E+00	1.80E+00	0.00525115	9.90528E-06
1.80E+00	2.00E+00	0.006295838	1.12298E-05
2.00E+00	2.15E+00	0.007347406	1.25638E-05
2.15E+00	2.35E+00	0.008377869	1.3802E-05
2.35E+00	2.50E+00	0.009417631	1.50229E-05
2.50E+00	2.75E+00	0.010591638	1.63098E-05
2.75E+00	3.00E+00	0.011948175	1.77585E-05
3.00E+00	3.50E+00	0.014012925	1.98592E-05
3.50E+00	4.00E+00	0.016627681	2.23454E-05
4.00E+00	4.50E+00	0.019336056	2.47188E-05
4.50E+00	5.00E+00	0.021937556	2.68938E-05
5.00E+00	5.50E+00	0.02467545	2.90548E-05
5.50E+00	6.00E+00	0.027568844	3.11987E-05
6.00E+00	6.50E+00	0.030488344	3.32464E-05
6.50E+00	7.00E+00	0.033638338	3.54217E-05
7.00E+00	7.50E+00	0.036855681	3.74803E-05
7.50E+00	8.00E+00	0.040275963	3.96638E-05
8.00E+00	1.00E+01	0.049242075	4.49834E-05
1.00E+01	1.20E+01	0.064528875	5.32029E-05
1.20E+01	1.40E+01	0.080670788	6.12432E-05
1.40E+01	2.00E+01	0.114045388	7.64275E-05
