Bin low edge	Bin high edge	Intensity 	Uncertainty
1.00E-02	2.00E-02	0	0
2.00E-02	3.00E-02	0	0
3.00E-02	4.50E-02	0	0
4.50E-02	6.00E-02	0	0
6.00E-02	7.00E-02	0	0
7.00E-02	7.50E-02	0	0
7.50E-02	1.00E-01	0	0
1.00E-01	1.50E-01	0	0
1.50E-01	2.00E-01	0	0
2.00E-01	2.60E-01	4.23728813559e-11	6.50944554904e-10
2.60E-01	3.00E-01	8.20338983051e-09	9.55314502082e-09
3.00E-01	4.00E-01	3.42203389831e-07	6.49328041103e-08
4.00E-01	4.50E-01	1.70476271186e-06	1.51387242895e-07
4.50E-01	5.10E-01	8.14948305085e-06	3.43470506889e-07
5.10E-01	5.12E-01	1.63206991525e-05	5.03509979748e-07
5.12E-01	6.00E-01	4.11976271186e-05	8.30980670787e-07
6.00E-01	7.00E-01	0.000138660716102	1.58653160265e-06
7.00E-01	8.00E-01	0.000324830364407	2.52537556093e-06
8.00E-01	9.00E-01	0.000601324317797	3.5687469928e-06
9.00E-01	1.00E+00	0.000964494915254	4.68652415891e-06
1.00E+00	1.20E+00	0.00166158493644	6.41124619486e-06
1.20E+00	1.33E+00	0.00257184699153	8.30060642524e-06
1.33E+00	1.44E+00	0.00330640436441	9.73876215546e-06
1.44E+00	1.50E+00	0.00385093822034	1.08259505024e-05
1.50E+00	1.57E+00	0.00427441521186	1.1715182026e-05
1.57E+00	1.66E+00	0.00480328398305	1.27623966123e-05
1.66E+00	1.80E+00	0.00556961843220	1.41592457461e-05
1.80E+00	2.00E+00	0.00671258080508	1.60793341438e-05
2.00E+00	2.15E+00	0.00789409915254	1.80102840512e-05
2.15E+00	2.35E+00	0.00908605572034	1.9938455047e-05
2.35E+00	2.50E+00	0.01025914033900	2.18357122541e-05
2.50E+00	2.75E+00	0.01157981110170	2.39244251417e-05
2.75E+00	3.00E+00	0.01323750110170	2.64317360426e-05
3.00E+00	3.50E+00	0.01569488758470	2.99323387819e-05
3.50E+00	4.00E+00	0.01896315283900	3.43379233801e-05
4.00E+00	4.50E+00	0.02226290974580	3.86871642768e-05
4.50E+00	5.00E+00	0.02562772161020	4.30320071633e-05
5.00E+00	5.50E+00	0.02906426610170	4.73981077832e-05
5.50E+00	6.00E+00	0.03258719576270	5.17751228735e-05
6.00E+00	6.50E+00	0.03620100550850	5.62037882682e-05
6.50E+00	7.00E+00	0.03991754152540	6.06984374415e-05
7.00E+00	7.50E+00	0.04372274364410	6.52415600828e-05
7.50E+00	8.00E+00	0.04760437330510	6.98113220203e-05
8.00E+00	1.00E+01	0.05768916313560	8.02196595617e-05
1.00E+01	1.20E+01	0.07452899703390	9.60315826977e-05
1.20E+01	1.40E+01	0.09206094364410	0.00011168185658
1.40E+01	2.00E+01	0.12845129576300	0.000141314148046
