Bin low edge	Bin high edge	intensity 	Uncertainty
1.00E-02	2.00E-02	0	0
2.00E-02	3.00E-02	0	0
3.00E-02	4.50E-02	0	0
4.50E-02	6.00E-02	0	0
6.00E-02	7.00E-02	0	0
7.00E-02	7.50E-02	0	0
7.50E-02	1.00E-01	0	0
1.00E-01	1.50E-01	0	0
1.50E-01	2.00E-01	0	0
2.00E-01	2.60E-01	1.14E-10	1.13E-09
2.60E-01	3.00E-01	7.23E-09	4.29E-09
3.00E-01	4.00E-01	1.79E-07	1.22E-08
4.00E-01	4.50E-01	1.02E-06	1.98E-08
4.50E-01	5.10E-01	7.43E-06	2.93E-08
5.10E-01	5.12E-01	1.59E-05	3.53E-08
5.12E-01	6.00E-01	4.30E-05	4.87E-08
6.00E-01	7.00E-01	0.00014951	7.56E-08
7.00E-01	8.00E-01	0.000352117	1.05E-07
8.00E-01	9.00E-01	0.000651612	1.33E-07
9.00E-01	1.00E+00	0.00104124	1.61E-07
1.00E+00	1.20E+00	0.001783538	2.01E-07
1.20E+00	1.33E+00	0.002743012	2.39E-07
1.33E+00	1.44E+00	0.00351142	2.65E-07
1.44E+00	1.50E+00	0.004078659	2.83E-07
1.50E+00	1.57E+00	0.004519647	2.95E-07
1.57E+00	1.66E+00	0.005067744	3.10E-07
1.66E+00	1.80E+00	5.86E-03	1.86E-06
1.80E+00	2.00E+00	7.03E-03	2.02E-06
2.00E+00	2.15E+00	8.25E-03	2.16E-06
2.15E+00	2.35E+00	9.46E-03	2.30E-06
2.35E+00	2.50E+00	1.06E-02	2.43E-06
2.50E+00	2.75E+00	1.20E-02	2.56E-06
2.75E+00	3.00E+00	1.36E-02	2.71E-06
3.00E+00	3.50E+00	0.016014985	2.92E-06
3.50E+00	4.00E+00	0.019170487	3.16E-06
4.00E+00	4.50E+00	0.022357498	3.38E-06
4.50E+00	5.00E+00	0.025596023	3.57E-06
5.00E+00	5.50E+00	0.028979938	3.76E-06
5.50E+00	6.00E+00	0.032472931	3.93E-06
6.00E+00	6.50E+00	0.036127573	4.09E-06
6.50E+00	7.00E+00	0.039891514	4.24E-06
7.00E+00	7.50E+00	0.043809916	4.39E-06
7.50E+00	8.00E+00	0.047866539	4.53E-06
8.00E+00	1.00E+01	0.058493711	4.86E-06
1.00E+01	1.20E+01	0.076521175	5.32E-06
1.20E+01	1.40E+01	0.095466273	5.71E-06
1.40E+01	2.00E+01	0.134429455	6.33E-06
