Energy [MeV]	Cherenkov Intensity	Uncertainty
0.0	0.0	0.0
0.4	0.0	0.0
0.6	0.0	0.0
0.8	0.0	0.0
1	9.23076923077E-09	9.60767984869E-09
1.2	8.97102043956E-07	1.09267694432E-07
1.4	1.20877923077E-05	4.39467986321E-07
1.6	5.88508131868E-05	1.05954885949E-06
1.8	0.000178685824176	2.0035305517E-06
2	0.000406447252747	3.26202488659E-06
2.2	0.000766271175824	4.80337841442E-06
2.4	0.00127312692308	6.60367228639E-06
2.6	0.00192968428571	8.64447531998E-06
2.8	0.00273356362637	1.08803223616E-05
3	0.00367356956044	1.33066950423E-05
3.2	0.00475417131868	1.59168379963E-05
3.4	0.00595613989011	1.86846340501E-05
3.6	0.00726448978022	2.15723221601E-05
3.8	0.00867307098901	2.46027400761E-05
4	0.01017143538460	2.77332807857E-05
