Energy [MeV]	Cherenkov Intensity	Uncertainty
0.0	0.0	0.0
0.2	0.0	0.0
0.3	0.0	0.0
0.4	0.0	0.0
0.5	0.0	0.0
0.6	0.0	0.0
0.7	0.0	0.0
0.8	0.0	0.0
0.9	0.0	0.0
1	0.0	0.0
1.2	7.61904761905e-10	3.02371578407e-09
1.4	4.06669698413e-08	2.43768516228e-08
1.6	1.20482539683e-06	1.46946854379e-07
1.8	9.39609349206e-06	4.45459727746e-07
2	3.88231746032e-05	9.76232724227e-07
2.2	0.000111259539683	1.76788421542e-06
2.4	0.000253124	2.8533311131e-06
2.6	0.000478311571429	4.16491325852e-06
2.8	0.000807759873016	5.74042161444e-06
3	0.00124915380952	7.54088597532e-06
3.5	0.00284421634921	1.28684292212e-05
4	0.00511440888889	1.92208443339e-05
4.5	0.00796591873016	2.64280504531e-05
5	0.0112761333333	3.42774895313e-05
5.5	0.0149805380952	4.27569487421e-05
6	0.0189878936508	5.17326771377e-05
6.5	0.0232861142857	6.12115168054e-05
7	0.0278187619048	7.11473753765e-05
7.5	0.0325242904762	8.144508155e-05
8	0.0373623349206	9.2067880688e-05
8.5	0.0423520238095	0.000103112661989
9	0.0474036333333	0.000114361021846
9.5	0.0525332	0.00012587510028
10	0.0577109873016	0.000137626950846
11	0.0681993285714	0.000161859254098
12	0.0788449238095	0.000186815054275
13	0.0894855666667	0.000212399019967
14	0.100074722222	0.000238377735735
15	0.110602074603	0.000264759802912
16	0.121083138095	0.000291388654466
17	0.131379357143	0.000318236760124
18	0.141520144444	0.000345099908606
19	0.151549319048	0.000372198360982
