Energy [MeV]	Cherenkov Intensity	Uncertainty
0.0	0.0	0.0
0.2	0.0	0.0
0.3	0.0	0.0
0.4	1.81818181818e-10	8.52802865422e-10
0.5	3.57954545455e-09	4.27510329726e-09
0.6	3.16592084091e-08	1.40276243265e-08
0.7	1.53681823864e-07	3.34212478079e-08
0.8	4.69333333333e-07	6.3310671934e-08
0.9	1.12428433333e-06	1.04042545456e-07
1	2.26128787879e-06	1.57154997221e-07
1.2	6.81993659091e-06	3.01232263574e-07
1.4	2.04099488636e-05	5.68006708318e-07
1.6	6.22536969697e-05	1.07846071144e-06
1.8	0.000158728219697	1.86157392042e-06
2	0.000332040606061	2.89617339145e-06
2.2	0.000590879996212	4.12838440883e-06
2.4	0.000934948776515	5.51499130463e-06
2.6	0.00136002969697	7.03274898669e-06
2.8	0.00185482844697	8.64186968818e-06
3	0.00241245318182	1.03333962796e-05
3.5	0.00406142090909	1.48723692664e-05
4	0.00605739787879	1.98411681313e-05
4.5	0.00839977916667	2.52375851901e-05
5	0.011057736553	3.10359194087e-05
5.5	0.0139941746212	3.7187591545e-05
6	0.0171541140152	4.36267376747e-05
6.5	0.0205088609848	5.032686511e-05
7	0.0240068545455	5.72361325829e-05
7.5	0.0276177655303	6.43151162788e-05
8	0.0313369155303	7.15635569001e-05
8.5	0.0351207867424	7.89408114661e-05
9	0.0389712666667	8.64518493763e-05
9.5	0.0428641117424	9.40761168042e-05
10	0.0671193075758	0.000133036983894
11	0.0757795753788	0.000151172952428
12	0.0846511276515	0.000169890585938
13	0.0936218219697	0.000189079174608
14	0.102697690152	0.000208683362078
15	0.111829180682	0.000228665804936
16	0.121079023864	0.000249065689711
17	0.130417397727	0.000269907255898
18	0.128086262121	0.000255818210453
19	0.149357241667	0.000312628658674
