Energy [MeV]	Cherenkov Intensity	Uncertainty
0.0	0.0	0.0
0.2	0.0	0.0
0.3	1.13636363636e-11	1.84637236469e-10
0.4	3.18181818182e-10	1.12815206892e-09
0.5	3.57954545455e-09	4.27510401237e-09
0.6	3.06592060606e-08	1.38219703846e-08
0.7	1.45912888258e-07	3.25176846488e-08
0.8	4.65484848485e-07	6.28205560793e-08
0.9	1.10778435985e-06	1.03142133985e-07
1	2.21227272727e-06	1.55075609707e-07
1.2	6.74766390152e-06	2.99583571447e-07
1.4	2.03249409091e-05	5.66907062363e-07
1.6	6.21707878788e-05	1.07635813733e-06
1.8	0.000158585984848	1.86139402656e-06
2	0.000331737878788	2.89422179937e-06
2.2	0.000590710416667	4.12697392172e-06
2.4	0.000935231420455	5.51618134988e-06
2.6	0.00136003685606	7.03242870403e-06
2.8	0.00185516549242	8.64242468982e-06
3	0.00241101852273	1.03268718838e-05
3.5	0.00406066829545	1.48724596813e-05
4	0.00605686181818	1.98379045226e-05
4.5	0.00840109136364	2.52441363333e-05
5	0.0110582606061	3.10370572237e-05
5.5	0.0139954965909	3.71914155602e-05
6	0.0171523761364	4.36253496304e-05
6.5	0.0205038034091	5.03123120876e-05
7	0.0240012268939	5.72258352695e-05
7.5	0.0276157102273	6.43010856699e-05
8	0.0313304625	7.15526914844e-05
8.5	0.0351144041667	7.89375684005e-05
9	0.0389666034091	8.64520663898e-05
9.5	0.0428617715909	9.40740741679e-05
