Energy [MeV]	Cherenkov Intensity	Uncertainty
0.2	0.0	0.0
0.3	0.0	0.0
0.4	2.22222222222e-10	9.42809041582e-10
0.5	4.72222222222e-09	4.89978983504e-09
0.6	3.49048944444e-08	1.48035281659e-08
0.7	1.76777777778e-07	3.59320719463e-08
0.8	5.50285714286e-07	6.84448430687e-08
0.9	1.3154285873e-06	1.12826664468e-07
1	2.6496031746e-06	1.69389492079e-07
1.2	1.09352502381e-05	3.81563358357e-07
1.4	4.54037087302e-05	8.5337947806e-07
1.6	0.000140803809524	1.64468317967e-06
1.8	0.000325367571429	2.70824718229e-06
2	0.000612975555556	3.99920342547e-06
2.2	0.00100283171429	5.46199043339e-06
2.4	0.00149835531746	7.0831424102e-06
2.6	0.00210254500000	8.85782931534e-06
2.8	0.00281472777778	1.07684818131e-05
3	0.00364146333333	1.28221776477e-05
3.5	0.00618243293651	1.85186828321e-05
4	0.0093310847619	2.49030801067e-05
4.5	0.012954834127	3.1810344663e-05
5	0.0169433753968	3.91341612547e-05
5.5	0.0212119015873	4.68103780502e-05
6	0.0256979634921	5.47662900292e-05
6.5	0.0303502349206	6.29777488978e-05
7	0.0351180746032	7.13869417006e-05
7.5	0.0399789968254	7.9979403086e-05
8	0.0449328293651	8.87600051254e-05
8.5	0.0499261809524	9.76929531081e-05
9	0.0549345436508	0.00010671440964
9.5	0.0600076492063	0.000115898398025
10	0.065073747619	0.000125161954577

