Energy [MeV]	Cherenkov Intensity	Uncertainty #From Atrum10B_fullength
0.4	4.67E-07	8.07E-08
0.6	8.81E-05	1.37E-06
0.8	0.000534086	3.97E-06
1	0.001375172	7.27E-06
1.2	0.002517732	1.10E-05
1.4	0.003834141	1.50E-05
1.6	0.005232443	1.92E-05
1.8	0.00663634	2.34E-05
2	0.008045381	2.77E-05
2.2	0.009450551	3.21E-05
2.4	0.01082272	3.66E-05
2.6	0.012157863	4.11E-05
2.8	0.013482454	4.56E-05
3	0.014793708	5.03E-05
3.2	0.016078956	5.50E-05
3.4	0.017359598	5.98E-05
3.6	0.01863093	6.46E-05
3.8	0.019885974	6.95E-05
4	0.021171098	7.45E-05
