Energy [MeV]	Cherenkov Intensity	Uncertainty
0.24	0	0
0.26	9.63E-10	2.89E-09
0.28	5.19E-09	6.96E-09
0.3	1.48E-08	1.23E-08
0.32	4.39E-08	2.20E-08
0.34	8.76E-08	3.21E-08
0.36	1.52E-07	4.38E-08
0.38	2.43E-07	5.63E-08
0.4	3.54E-07	6.99E-08
0.42	5.54E-07	8.96E-08
0.44	1.26E-06	1.38E-07
0.46	2.78E-06	2.09E-07
0.48	5.93E-06	3.12E-07
0.5	1.09E-05	4.34E-07
0.52	1.79E-05	5.69E-07
0.54	2.75E-05	7.21E-07
0.56	3.99E-05	8.86E-07
0.58	5.59E-05	1.07E-06
0.6	7.47E-05	1.26E-06
0.62	9.70E-05	1.47E-06
0.64	0.00012209	1.67E-06
0.66	0.000151557	1.90E-06
0.68	0.000184847	2.13E-06
0.7	0.000221706	2.38E-06
0.72	0.000262098	2.63E-06
0.74	0.000306354	2.88E-06
0.76	0.000353739	3.15E-06
0.78	0.000405362	3.42E-06
0.8	0.000459267	3.69E-06
0.82	0.000519499	3.98E-06
0.84	0.000580974	4.28E-06
0.86	0.000645703	4.57E-06
0.88	0.000713321	4.87E-06
0.9	0.000786167	5.17E-06
0.92	0.000862632	5.49E-06
0.94	0.00094108	5.81E-06
0.96	0.001022914	6.14E-06
0.98	0.001104715	6.45E-06
1	0.001191575	6.79E-06
1.05	0.001420749	7.63E-06
1.1	0.001665699	8.51E-06
1.15	0.001925461	9.41E-06
1.2	0.002194146	1.03E-05
1.25	0.002474949	1.12E-05
1.3	0.00276185	1.22E-05
1.35	0.003053993	1.31E-05
1.4	0.003352957	1.41E-05
1.45	0.003652456	1.50E-05
1.5	0.003958502	1.60E-05
1.55	0.004271107	1.70E-05
1.6	0.00457426	1.80E-05
1.65	0.004886096	1.89E-05
1.7	0.005195467	1.99E-05
1.75	0.005506655	2.09E-05
1.8	0.005812798	2.19E-05
1.85	0.006125634	2.29E-05
1.9	0.006431232	2.39E-05
1.95	0.006737585	2.50E-05
2	0.007046418	2.60E-05
2.05	0.00734447	2.70E-05
2.1	0.00766617	2.81E-05
2.15	0.007962168	2.91E-05
2.2	0.008266979	3.01E-05
2.25	0.008577087	3.11E-05
2.3	0.00886905	3.22E-05
2.35	0.009170489	3.32E-05
2.4	0.00946444	3.43E-05
2.45	0.009758151	3.53E-05
2.5	0.010057283	3.64E-05
2.55	0.010331167	3.74E-05
2.6	0.010632147	3.85E-05
2.65	0.010919278	3.96E-05
2.7	0.011211753	4.06E-05
2.75	0.011483294	4.17E-05
2.8	0.011783899	4.28E-05
2.85	0.012061959	4.39E-05
2.9	0.012352395	4.50E-05
2.95	0.012639609	4.61E-05
3	0.012917062	4.71E-05
3.05	0.013201965	4.82E-05
3.1	0.013486619	4.94E-05
3.15	0.013748648	5.04E-05
3.2	0.014033854	5.16E-05
3.25	0.014307647	5.27E-05
3.3	0.01458187	5.38E-05
3.35	0.01486231	5.49E-05
3.4	0.015129593	5.60E-05
3.45	0.015405691	5.71E-05
3.5	0.015671877	5.82E-05
3.55	0.01595129	5.94E-05
3.6	0.016214838	6.05E-05
3.65	0.016492941	6.17E-05
3.7	0.016764451	6.28E-05
3.75	0.017042076	6.40E-05
3.8	0.017298414	6.51E-05
3.85	0.017567795	6.62E-05
3.9	0.017844694	6.74E-05
3.95	0.018122971	6.86E-05
4	0.018376071	6.97E-05
4.05	0.018658979	7.09E-05
4.1	0.018924781	7.21E-05
4.15	0.019225883	7.34E-05
4.2	0.019475011	7.45E-05
4.25	0.019750689	7.57E-05
4.3	0.020007876	7.69E-05
4.35	0.02030901	7.81E-05
4.4	0.02056479	7.93E-05
4.45	0.020839316	8.05E-05
4.5	0.021129516	8.18E-05
4.55	0.021393165	8.30E-05
4.6	0.021670117	8.42E-05
4.65	0.02194413	8.54E-05
4.7	0.022222379	8.66E-05
4.75	0.022510002	8.79E-05
4.8	0.022787179	8.92E-05
4.85	0.023073856	9.04E-05
4.9	0.023345906	9.16E-05
4.95	0.023632232	9.29E-05
5	0.023898294	9.41E-05
5.1	0.024478051	9.67E-05
5.2	0.025022802	9.92E-05
5.3	0.025654903	0.000101963
5.4	0.026187271	0.000104442
5.5	0.026786892	0.000107161
5.6	0.027372417	0.000109778
5.7	0.027971984	0.000112446
5.8	0.02858297	0.000115198
5.9	0.02916109	0.000117892
6	0.029783635	0.000120659
6.1	0.030371338	0.000123311
6.2	0.031010441	0.000126232
6.3	0.031622527	0.000129048
6.4	0.032219271	0.000131725
6.5	0.032882803	0.000134623
6.6	0.033521302	0.000137514
6.7	0.034165781	0.000140417
6.8	0.0347738	0.000143215
6.9	0.035404089	0.000146134
7	0.036118297	0.000149258
7.1	0.036773857	0.000152194
7.2	0.037423079	0.000155195
7.3	0.038081414	0.000158165
7.4	0.038768667	0.000161149
7.5	0.039467584	0.00016436
7.6	0.040130246	0.000167329
7.7	0.040817594	0.0001704
7.8	0.041515402	0.000173519
7.9	0.042228232	0.000176801
8	0.042892151	0.000179762
8.1	0.043621062	0.000182998
8.2	0.044323657	0.000186151
8.3	0.045049227	0.000189439
8.4	0.045738786	0.000192705
8.5	0.046482929	0.000195914
8.6	0.047234186	0.000199242
8.7	0.04792974	0.000202424
8.8	0.048676238	0.000205732
8.9	0.049356548	0.000209027
9	0.050123587	0.000212363
9.1	0.050876665	0.000215566
9.2	0.051612378	0.000219087
9.3	0.052375275	0.000222496
9.4	0.053168054	0.000225884
9.5	0.053856083	0.000229171
9.6	0.054663779	0.000232824
9.7	0.055448338	0.000236247
9.8	0.056145102	0.00023963
9.9	0.056994798	0.000243262
10	0.057751821	0.000246809
10.5	0.061735463	0.000264614
11	0.065632695	0.000282613
11.5	0.069648503	0.000300808
12	0.073742286	0.000319708
12.5	0.077902473	0.000338735
13	0.082250268	0.000358899
13.5	0.08634604	0.000378092
14	0.090565948	0.00039796
14.5	0.09476234	0.000417897
15	0.099186413	0.000438612
15.5	0.103557086	0.000459494
16	0.107947649	0.000480619
16.5	0.112319163	0.000501719
17	0.11673811	0.000523302
17.5	0.121143297	0.000544727
18	0.125738744	0.000567064
18.5	0.130178619	0.000588887
19	0.134463898	0.000610402
19.5	0.138779162	0.000632215
20	0.143576519	0.000655787
