Energy [MeV]	Cherenkov Intensity	Uncertainty
0.24	0	0
0.26	5.71E-10	1.22E-09
0.28	6.33E-09	4.24E-09
0.3	2.82E-08	9.24E-09
0.32	8.43E-08	1.65E-08
0.34	1.93E-07	2.59E-08
0.36	3.57E-07	3.63E-08
0.38	6.02E-07	4.85E-08
0.4	9.23E-07	6.17E-08
0.42	1.38E-06	7.74E-08
0.44	2.33E-06	1.03E-07
0.46	4.26E-06	1.42E-07
0.48	7.54E-06	1.93E-07
0.5	1.27E-05	2.56E-07
0.52	1.99E-05	3.27E-07
0.54	2.96E-05	4.08E-07
0.56	4.19E-05	4.95E-07
0.58	5.72E-05	5.90E-07
0.6	7.56E-05	6.92E-07
0.62	9.72E-05	7.99E-07
0.64	0.00012228	9.13E-07
0.66	0.000150779	1.03E-06
0.68	0.000182896	1.16E-06
0.7	0.000218526	1.28E-06
0.72	0.000257991	1.42E-06
0.74	0.000300976	1.56E-06
0.76	0.000347693	1.70E-06
0.78	0.000398277	1.85E-06
0.8	0.000452032	2.00E-06
0.82	0.000509886	2.15E-06
0.84	0.000571171	2.31E-06
0.86	0.000635951	2.47E-06
0.88	0.000704402	2.64E-06
0.9	0.000776419	2.81E-06
0.92	0.00085147	2.98E-06
0.94	0.000929999	3.15E-06
0.96	0.00101212	3.33E-06
0.98	0.001096995	3.51E-06
1	0.001185364	3.70E-06
1.05	0.001418759	4.16E-06
1.1	0.00166995	4.65E-06
1.15	0.001938021	5.15E-06
1.2	0.002216602	5.65E-06
1.25	0.002510094	6.17E-06
1.3	0.002813679	6.70E-06
1.35	0.003125159	7.23E-06
1.4	0.003443853	7.77E-06
1.45	0.003770047	8.31E-06
1.5	0.004099093	8.86E-06
1.55	0.004432548	9.41E-06
1.6	0.004769053	9.97E-06
1.65	0.005105879	1.05E-05
1.7	0.005444647	1.11E-05
1.75	0.005785694	1.16E-05
1.8	0.006127184	1.22E-05
1.85	0.006468647	1.28E-05
1.9	0.006812432	1.33E-05
1.95	0.007155129	1.39E-05
2	0.007498355	1.45E-05
2.05	0.007843751	1.51E-05
2.1	0.008188958	1.56E-05
2.15	0.008538059	1.62E-05
2.2	0.00888424	1.68E-05
2.25	0.009231274	1.74E-05
2.3	0.009571918	1.80E-05
2.35	0.009916533	1.86E-05
2.4	0.010256735	1.92E-05
2.45	0.010592967	1.98E-05
2.5	0.010928241	2.03E-05
2.55	0.01126511	2.09E-05
2.6	0.011600121	2.15E-05
2.65	0.011936138	2.21E-05
2.7	0.012275533	2.27E-05
2.75	0.012613827	2.33E-05
2.8	0.012949778	2.40E-05
2.85	0.013285967	2.46E-05
2.9	0.013621579	2.52E-05
2.95	0.013959443	2.58E-05
3	0.014291328	2.64E-05
3.05	0.014624633	2.70E-05
3.1	0.014958618	2.76E-05
3.15	0.015294186	2.82E-05
3.2	0.015626465	2.89E-05
3.25	0.015955394	2.95E-05
3.3	0.016285476	3.01E-05
3.35	0.016621283	3.07E-05
3.4	0.016950637	3.14E-05
3.45	0.017285015	3.20E-05
3.5	0.01761734	3.26E-05
3.55	0.017947852	3.33E-05
3.6	0.01827636	3.39E-05
3.65	0.018614904	3.45E-05
3.7	0.018947692	3.52E-05
3.75	0.019279667	3.58E-05
3.8	0.019615912	3.65E-05
3.85	0.019953314	3.71E-05
3.9	0.020283238	3.78E-05
3.95	0.020617698	3.84E-05
4	0.0209594	3.91E-05
4.05	0.021295945	3.97E-05
4.1	0.02163323	4.04E-05
4.15	0.021973279	4.10E-05
4.2	0.022307142	4.17E-05
4.25	0.022649034	4.24E-05
4.3	0.022982213	4.30E-05
4.35	0.023323358	4.37E-05
4.4	0.023660121	4.44E-05
4.45	0.023997937	4.50E-05
4.5	0.024346444	4.57E-05
4.55	0.0246848	4.64E-05
4.6	0.025037325	4.71E-05
4.65	0.025374872	4.78E-05
4.7	0.025722784	4.84E-05
4.75	0.026071422	4.91E-05
4.8	0.026414185	4.98E-05
4.85	0.026760752	5.05E-05
4.9	0.027113081	5.12E-05
4.95	0.027459474	5.19E-05
5	0.027812236	5.26E-05
5.1	0.028513039	5.40E-05
5.2	0.029217646	5.54E-05
5.3	0.029928456	5.69E-05
5.4	0.030643438	5.83E-05
5.5	0.031357226	5.97E-05
5.6	0.032077464	6.12E-05
