Energy [MeV]	Cherenkov Intensity	Uncertainty
0.2	0.0	0.0
0.3	2.49545470455e-08	8.69953951835e-09
0.4	8.38727272727e-07	5.88454410245e-08
0.5	1.09501515152e-05	2.37726297533e-07
0.6	6.3656480303e-05	6.32973688155e-07
0.7	0.000182026117424	1.16787160467e-06
0.8	0.000374224515152	1.8091289678e-06
0.9	0.000640193117424	2.53714218941e-06
1	0.000974973333333	3.33629463436e-06
1.2	0.00181913333333	5.10015225422e-06
1.4	0.00282104867424	7.00390665633e-06
1.6	0.00390521852273	8.98480289945e-06
1.8	0.00501858261364	1.10065223913e-05
2	0.0061436544697	1.30625812753e-05
2.2	0.00728240742424	1.5164724571e-05
2.4	0.0084077432197	1.72851518172e-05
2.6	0.0095151880303	1.94206317799e-05
2.8	0.0106268132955	2.15918909596e-05
3	0.0117387998106	2.37970604471e-05
3.5	0.0144885180303	2.9401675418e-05
4	0.0172627563636	3.51932444036e-05
4.5	0.0200794511364	4.11694628553e-05
5	0.0229767170455	4.7364411236e-05
5.5	0.0259469962121	5.37645013394e-05
6	0.0289934162879	6.03477322423e-05
6.5	0.0321136507576	6.71117912457e-05
7	0.0353140742424	7.40725935629e-05
7.5	0.0385998893939	8.12028162333e-05
8	0.0419555496212	8.85128351558e-05
8.5	0.0453654625	9.59605434967e-05
9	0.0488215162879	0.000103549207946
9.5	0.0523427617424	0.000111287319239
10	0.0558950492424	0.000119131902863
11	0.0631323087121	0.000135184872591
12	0.0705174454545	0.000151675963278
13	0.0779782257576	0.000168553687594
14	0.0854778693182	0.000185674251108
15	0.0930579655303	0.000203173728608
16	0.100658759848	0.000220956980474
17	0.10826619053	0.000238958827002
18	0.11601907803	0.000257378197356
19	0.12372251553	0.000275906740582
