Energy [MeV]	Cherenkov Intensity	Uncertainty
0.2	0.0	0.0
0.3	2.89285738889e-08	9.41504613205e-09
0.4	9.38476190476e-07	6.22845272274e-08
0.5	1.29204365079e-05	2.58203049456e-07
0.6	7.54202531746e-05	6.89189160644e-07
0.7	0.000213737333333	1.26580378171e-06
0.8	0.000435473079365	1.95281618371e-06
0.9	0.000739045857143	2.72835262426e-06
1	0.00111422952381	3.57071143155e-06
1.1	0.00153840739690	4.44843380223e-06
1.2	0.00204189928571	5.41183603111e-06
1.3	0.00256778412698	6.38366232653e-06
1.4	0.00311810293651	7.37536622536e-06
1.5	0.00368832825397	8.38769107998e-06
1.6	0.00426595555556	9.4088951441e-06
1.7	0.00484459293651	1.04337193286e-05
1.8	0.00542846507937	1.14698682508e-05
1.9	0.00601196571429	1.25123805898e-05
2	0.00659784507937	1.35663578776e-05
2.2	0.00777386603175	1.57018291721e-05
2.4	0.00893707293651	1.78581684051e-05
2.6	0.0100804065079	2.00291265849e-05
2.8	0.0112320097619	2.22408000022e-05
3	0.0123752959524	2.4477546848e-05
3.5	0.0152299769841	3.01967876021e-05
4	0.0181309666667	3.61432548479e-05
4.5	0.0210780515873	4.2274662902e-05
5	0.0241399055556	4.86707990928e-05
5.5	0.0272859444444	5.52768276352e-05
6	0.0305726444444	6.2150550635e-05
6.5	0.0339712706349	6.92514383961e-05
7	0.0374347714286	7.65225890478e-05
7.5	0.0410429674603	8.40578960904e-05
8	0.0447461246032	9.17794269812e-05
8.5	0.0485032142857	9.96894668621e-05
9	0.0523590698413	0.000107743636441
9.5	0.056230718254	0.000115969930323
10	0.0601979047619	0.00012432124745
11	0.0682186563492	0.000141465645632
12	0.0764169206349	0.000159090821352
13	0.0847090571429	0.000177126152515
14	0.0931152468254	0.000195615203957
15	0.101586204762	0.000214467993111
16	0.11004246746	0.000233488224839
17	0.118652011111	0.000253068469487
18	0.127204062698	0.000272692351454
19	0.135749259524	0.000292529215632
20	0.144271706349	0.000312541637647

